"filename", "language", "TypeScript", "JSON with Comments", "TypeScript React", "XML", "CSS", "JSON", "Markdown", "HTML", "JavaScript", "comment", "blank", "total"
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\youtube-playlists\playlist-artists.tsx", "TypeScript React", 0, 0, 97, 0, 0, 0, 0, 0, 0, 2, 20, 119
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\youtube-playlists\playlist-cards.tsx", "TypeScript React", 0, 0, 158, 0, 0, 0, 0, 0, 0, 2, 27, 187
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\youtube-playlists\playlist-component.tsx", "TypeScript React", 0, 0, 370, 0, 0, 0, 0, 0, 0, 3, 29, 402
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\youtube-playlists\playlist-playlists.tsx", "TypeScript React", 0, 0, 82, 0, 0, 0, 0, 0, 0, 4, 18, 104
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\youtube-playlists\playlist.styles.ts", "TypeScript", 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 90
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\youtube-playlists\styles.css", "CSS", 0, 0, 0, 0, 55, 0, 0, 0, 0, 1, 9, 65
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\assets\svg\chevron-right.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\constants\constants-deezer.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\constants\constants-spotify.ts", "TypeScript", 31, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 36
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\constants\constants-youtube.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 16
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\context\app-context.tsx", "TypeScript React", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 8, 34
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\context\deezer-context.tsx", "TypeScript React", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 10, 48
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\context\player-context.tsx", "TypeScript React", 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 13, 110
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\context\spotify-context.tsx", "TypeScript React", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 10, 42
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\context\user-context.tsx", "TypeScript React", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 8, 28
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\context\youtube-api-context.tsx", "TypeScript React", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 8, 31
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\context\youtube-context.tsx", "TypeScript React", 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 11, 57
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\helpers\api-login.ts", "TypeScript", 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 95
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\helpers\thumbnails.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\helpers\title-parser.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\index.tsx", "TypeScript React", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 4, 35
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\reportWebVitals.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\setupTests.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\shared\app-startup.tsx", "TypeScript React", 0, 0, 61, 0, 0, 0, 0, 0, 0, 1, 11, 73
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\shared\app-theme.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 14
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\types\User.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\types\deezer.types.ts", "TypeScript", 274, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 304
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\types\index.d.ts", "TypeScript", 280, 0, 0, 0, 0, 0, 0, 0, 0, 423, 76, 779
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\types\spotify.types.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 55, 2, 80
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\utils\auth.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 31
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\utils\helpers.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 20
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\utils\last-tick.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\utils\noop.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 4
"c:\Users\manta\Desktop\0\Jamify\Frontend\tests\api\playlists-api.test.ts", "TypeScript", 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 131
"c:\Users\manta\Desktop\0\Jamify\Frontend\tests\api\tracks-api.test.ts", "TypeScript", 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 130
"c:\Users\manta\Desktop\0\Jamify\Frontend\tests\api\user-api.test.ts", "TypeScript", 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 146
"c:\Users\manta\Desktop\0\Jamify\Frontend\tests\utils\last-tick.test.ts", "TypeScript", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 56
"c:\Users\manta\Desktop\0\Jamify\Frontend\tests\utils\local-storage.test.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 39
"c:\Users\manta\Desktop\0\Jamify\Frontend\tests\utils\noop.test.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\manta\Desktop\0\Jamify\Frontend\tests\utils\token-parser.test.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\manta\Desktop\0\Jamify\Frontend\tsconfig.json", "JSON with Comments", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"Total", "-", 2421, 22, 9942, 1, 339, 30151, 1, 20, 29, 674, 1830, 45430
